Model,Feature,Importance,Direction
Random Forest,TrainingTimesLastYear,0.0091,Decreases Risk
Random Forest,WorkLifeBalance,0.0237,Decreases Risk
Random Forest,YearsAtCompany,0.016,Decreases Risk
Random Forest,YearsInCurrentRole,0.0166,Decreases Risk
Random Forest,YearsSinceLastPromotion,0.004,Decreases Risk
Random Forest,YearsWithCurrManager,0.0294,Decreases Risk
Random Forest,BusinessTravel_Travel_Frequently,0.0005,Decreases Risk
Random Forest,BusinessTravel_Travel_Rarely,0.0141,Decreases Risk
Random Forest,Department_Research & Development,0.0476,Decreases Risk
Random Forest,Department_Sales,0.0076,Increases Risk
Random Forest,EducationField_Life Sciences,0.014,Decreases Risk
Random Forest,EducationField_Marketing,0.0019,Decreases Risk
Random Forest,EducationField_Medical,0.0258,Decreases Risk
Random Forest,EducationField_Other,0.0009,Decreases Risk
Random Forest,EducationField_Technical Degree,0.001,Decreases Risk
Random Forest,Gender_Male,0.0058,Decreases Risk
Random Forest,JobRole_Human Resources,0.0008,Decreases Risk
Random Forest,JobRole_Laboratory Technician,0.0008,Decreases Risk
Random Forest,JobRole_Manager,0.0009,Decreases Risk
Random Forest,JobRole_Manufacturing Director,0.0034,Decreases Risk
Random Forest,JobRole_Research Director,0.0008,Decreases Risk
Random Forest,JobRole_Research Scientist,0.0171,Decreases Risk
Random Forest,JobRole_Sales Executive,0.0035,Increases Risk
Random Forest,JobRole_Sales Representative,0.0006,Decreases Risk
Random Forest,MaritalStatus_Married,0.0509,Decreases Risk
Random Forest,MaritalStatus_Single,0.0112,Decreases Risk
Random Forest,OverTime_Yes,0.0054,Decreases Risk
Neural Network,Age,0.0095,Decreases Risk
Neural Network,DailyRate,0.0084,Increases Risk
Neural Network,DistanceFromHome,0.0033,Increases Risk
Neural Network,Education,0.0023,Increases Risk
Neural Network,EnvironmentSatisfaction,0.0272,Decreases Risk
Neural Network,HourlyRate,0.0014,Decreases Risk
Neural Network,JobInvolvement,0.0188,Increases Risk
Neural Network,JobLevel,0.004,Decreases Risk
Neural Network,JobSatisfaction,0.0351,Decreases Risk
Neural Network,MonthlyIncome,0.0,Decreases Risk
Neural Network,MonthlyRate,0.0,Decreases Risk
Neural Network,NumCompaniesWorked,0.0104,Increases Risk
Neural Network,PercentSalaryHike,0.0002,Increases Risk
Neural Network,PerformanceRating,0.0,Decreases Risk
Neural Network,RelationshipSatisfaction,0.0134,Decreases Risk
Neural Network,StockOptionLevel,0.047,Decreases Risk
Neural Network,TotalWorkingYears,0.0139,Increases Risk
Neural Network,TrainingTimesLastYear,0.0108,Decreases Risk
Neural Network,WorkLifeBalance,0.0039,Increases Risk
Neural Network,YearsAtCompany,0.0,Decreases Risk
Neural Network,YearsInCurrentRole,0.0052,Decreases Risk
Neural Network,YearsSinceLastPromotion,0.0139,Increases Risk
Neural Network,YearsWithCurrManager,0.0077,Decreases Risk
Neural Network,BusinessTravel_Travel_Frequently,0.0029,Increases Risk
Neural Network,BusinessTravel_Travel_Rarely,0.0,Decreases Risk
Neural Network,Department_Research & Development,0.0484,Increases Risk
Neural Network,Department_Sales,0.0103,Decreases Risk
Neural Network,EducationField_Life Sciences,0.0875,Increases Risk
Neural Network,EducationField_Marketing,0.0119,Decreases Risk
Neural Network,EducationField_Medical,0.0819,Decreases Risk
Neural Network,EducationField_Other,0.0022,Decreases Risk
Neural Network,EducationField_Technical Degree,0.0076,Decreases Risk
Neural Network,Gender_Male,0.0,Decreases Risk
Neural Network,JobRole_Human Resources,0.0,Decreases Risk
Neural Network,JobRole_Laboratory Technician,0.0,Decreases Risk
Neural Network,JobRole_Manager,0.007,Decreases Risk
Neural Network,JobRole_Manufacturing Director,0.0109,Decreases Risk
Neural Network,JobRole_Research Director,0.0062,Decreases Risk
Neural Network,JobRole_Research Scientist,0.0192,Decreases Risk
Neural Network,JobRole_Sales Executive,0.0085,Decreases Risk
Neural Network,JobRole_Sales Representative,0.0,Decreases Risk
Neural Network,MaritalStatus_Married,0.0189,Decreases Risk
Neural Network,MaritalStatus_Single,0.0012,Increases Risk
Neural Network,OverTime_Yes,0.0689,Increases Risk
